s_max,10
num_s,2
d,2
lamda,1
num_cores,4
num_trials,50
scaling,log-scale-factor-1.0
T,1.0,2.0
0,inf,inf
1,inf,inf
2,inf,inf
3,inf,inf
4,inf,inf
5,inf,inf
6,inf,inf
7,inf,inf
8,inf,inf
9,inf,inf
10,inf,inf
11,inf,inf
12,inf,inf
13,inf,inf
14,inf,inf
15,inf,inf
16,inf,3.315782694484282
17,inf,inf
18,inf,2.552978487040399
19,inf,inf
20,inf,inf
21,inf,inf
22,inf,2.208419512217385
23,inf,inf
24,inf,inf
25,inf,inf
26,inf,inf
27,inf,inf
28,inf,inf
29,inf,inf
30,inf,inf
31,inf,inf
32,inf,inf
33,inf,inf
34,inf,inf
35,inf,inf
36,inf,inf
37,inf,inf
38,inf,inf
39,inf,inf
40,inf,inf
41,inf,3.5417480011947764
42,inf,inf
43,inf,2.3263381951404294
44,inf,2.839042766703494
45,inf,inf
46,inf,inf
47,inf,inf
48,inf,inf
49,inf,inf
